Epoch,Loss
0,0.11110771184458453
10,0.002475101548685309
20,0.002552400137681295
30,0.0020852458444150057
40,0.002659885582568891
50,0.0024003274122472197
60,0.002724446794565986
70,0.002330829101779005
80,0.0021800718215458535
90,0.002508273012662197
100,0.002056334400549531
110,0.0025320113568073686
120,0.0020991117173038863
130,0.002176132203791948
140,0.0024948520038057774
150,0.0021334584213464577
160,0.002224705716156784
170,0.0021134295692557797
180,0.002121508025619037
190,0.00196485039915013
